id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class,sub_depth
879136,1960-05-22T19:11:20,-73.407,-38.143,25.0,9.55,mw,,,,,10.0,17.0,105.0,170.0,79.0,90.0,,,,,,,gem,,slab_interface,31.6881771088
17291428,1962-02-14T06:36:05,-72.885,-37.845,30.0,7.1,mw,,,default,,20.0,18.0,124.0,165.0,75.0,80.0,,,,,,,gem,,slab_interface,44.9004974365
874301,1962-02-27T12:40:46,-73.053,-37.732,25.0,6.2,mw,,,,,18.0,22.0,116.0,170.0,70.0,80.0,,,,,,,gem,,slab_interface,39.2277450562
875655,1962-11-11T22:14:18,-75.773,-43.198,20.0,6.1,mw,,,,,194.0,46.0,-105.0,36.0,46.0,-75.0,,,,,,,gem,,outer_rise,
875869,1962-12-29T10:41:04,-70.029,-20.106,40.0,6.2,mw,,,,,348.0,25.0,108.0,148.0,66.0,82.0,,,,,,,gem,,slab_interface,49.4834327698
871787,1963-02-05T20:39:20,-73.443,-38.437,25.0,6.4,mw,,,,,7.0,6.0,117.0,160.0,85.0,87.0,,,,,,,gem,,slab_interface,32.2648239136
873644,1963-12-03T23:03:46,-69.962,-22.691,35.0,6.3,mw,,,,,203.0,44.0,25.0,94.0,73.0,131.0,,,,,,,gem,,forearc,45.4363288879
866324,1964-07-25T19:31:09,-71.098,-27.876,29.6,6.5,mw,,,,,326.0,16.0,72.0,164.0,75.0,95.0,,,,,,,gem,,slab_interface,27.3703250885
864939,1964-08-05T22:23:11,-74.93,-41.095,10.0,6.4,mw,,,,,300.0,40.0,-144.0,181.0,68.0,-56.0,,,,,,,gem,,intra_slab,9.18620300293
865218,1964-08-18T04:44:59,-71.618,-26.436,10.0,6.7,mw,,,,,52.0,40.0,89.0,234.0,50.0,91.0,,,,,,,gem,,outer_rise,
860516,1965-02-23T22:11:48,-70.632,-25.659,41.8,7.0,mw,,,,,16.0,86.0,-78.0,124.0,13.0,-161.0,,,,,,,gem,,intra_slab,32.650062561
858793,1965-03-22T22:56:27,-71.537,-31.967,46.6,6.2,mw,,,,,330.0,25.0,52.0,190.0,71.0,106.0,,,,,,,gem,,slab_interface,35.8692092896
858940,1965-03-28T16:33:15,-71.206,-32.516,68.3,7.4,mw,,,,,348.0,10.0,-95.0,173.0,80.0,-89.0,,,,,,,gem,,intra_slab,50.9824981689
852863,1965-10-03T16:14:56,-75.225,-43.015,21.5,5.9,mw,,,,,231.0,26.0,-53.0,11.0,70.0,-106.0,,,,,,,gem,,intra_slab,8.96775341034
852416,1965-11-13T17:59:40,-68.203,-29.371,25.0,5.7,mw,,,,,320.0,37.0,65.0,171.0,57.0,108.0,,,,,,,gem,,backarc,
852739,1965-11-28T03:56:45,-73.0,-45.813,20.0,6.2,mw,,,,,22.0,58.0,-162.0,282.0,75.0,-33.0,,,,,,,gem,,intraarc_shallow,
848290,1966-04-10T16:36:15,-71.138,-31.444,59.9,6.1,mw,,,,,308.0,22.0,46.0,174.0,75.0,106.0,,,,,,,gem,,slab_interface,54.382106781
848349,1966-04-12T23:37:42,-73.044,-38.251,35.9,6.3,mw,,,,,356.0,10.0,95.0,171.0,80.0,89.0,,,,,,,gem,,slab_interface,42.7613258362
848355,1966-04-13T03:35:18,-73.078,-38.207,46.7,5.9,mw,,,,,37.0,15.0,136.0,170.0,80.0,79.0,,,,,,,gem,,intra_slab,40.7140426636
848610,1966-04-22T03:06:34,-73.461,-37.719,18.9,5.9,mw,,,,,20.0,12.0,120.0,170.0,80.0,84.0,,,,,,,gem,,slab_interface,28.2145404816
845846,1966-07-27T04:49:00,-70.274,-24.146,31.4,5.8,mw,,,,,26.0,18.0,125.0,170.0,75.0,79.0,,,,,,,gem,,slab_interface,40.2010345459
841046,1966-12-28T08:18:06,-70.531,-25.487,20.0,7.67,mw,,,,,70.0,41.0,150.0,184.0,71.0,53.0,,,,,,,gem,,forearc,36.1603317261
837800,1967-03-13T16:06:54,-74.74,-40.203,22.5,5.7,mw,,,,,299.0,40.0,-33.0,55.0,70.0,-125.0,,,,,,,gem,,intra_slab,10.4726753235
837096,1967-04-25T10:36:14,-69.159,-32.812,25.7,5.42,mw,,,,,159.0,41.0,97.0,330.0,49.0,84.0,,,,,,,gem,,intraarc_shallow,
834748,1967-06-21T20:09:33,-70.454,-25.124,46.2,6.2,mw,,,,,40.0,46.0,94.0,214.0,44.0,86.0,,,,,,,gem,,slab_interface,38.5302886963
831680,1967-09-26T16:11:24,-71.439,-30.103,49.4,6.2,mw,,,,,24.0,19.0,104.0,189.0,71.0,85.0,,,,,,,gem,,slab_interface,35.1054229736
829395,1967-11-15T21:31:56,-71.303,-28.811,35.6,6.3,mw,,,,,209.0,44.0,132.0,338.0,58.0,57.0,,,,,,,gem,,intra_slab,30.4144477844
828604,1967-12-21T02:25:25,-69.956,-21.878,45.0,7.3,mw,,,,,6.0,28.0,100.0,175.0,62.0,85.0,,,,,,,gem,,slab_interface,45.340473175
828737,1967-12-25T10:41:33,-70.329,-21.563,49.1,6.36,mw,,,,,10.0,78.0,-104.0,240.0,18.0,-41.0,,,,,,,gem,,intra_slab,30.6996173859
827036,1968-01-06T23:27:22,-70.991,-27.88,32.5,6.4,mw,,,,,0.0,20.0,100.0,169.0,70.0,86.0,,,,,,,gem,,slab_interface,31.0333786011
824491,1968-04-30T23:51:14,-71.242,-38.334,10.0,5.38,mw,,,,,186.0,44.0,90.0,6.0,46.0,90.0,,,,,,,gem,,intraarc_shallow,
816954,1968-09-11T18:26:36,-75.175,-43.037,17.9,5.9,mw,,,,,289.0,33.0,-28.0,44.0,75.0,-119.0,,,,,,,gem,,intra_slab,9.02841472626
810191,1969-04-26T05:58:52,-71.565,-30.672,38.3,6.0,mw,,,,,22.0,22.0,115.0,175.0,70.0,80.0,,,,,,,gem,,slab_interface,33.2309150696
810192,1969-04-26T06:02:50,-71.241,-30.561,32.1,6.2,mw,,,,,323.0,23.0,64.0,171.0,69.0,101.0,,,,,,,gem,,slab_interface,46.6728172302
802240,1969-11-13T07:51:30,-71.812,-27.807,23.5,6.0,mw,,,,,295.0,39.0,-19.0,40.0,78.0,-128.0,,,,,,,gem,,intra_slab,10.6375198364
794705,1970-06-19T10:56:15,-70.351,-22.226,50.0,6.5,mw,,,,,10.0,85.0,-85.0,145.0,7.0,-135.0,,,,,,,gem,,intra_slab,30.5896186829
792002,1970-09-14T15:36:51,-72.251,-34.001,25.2,5.7,mw,,,,,339.0,21.0,85.0,165.0,69.0,92.0,,,,,,,gem,,slab_interface,20.8200473785
792158,1970-09-19T06:37:29,-71.908,-33.516,25.0,5.7,mw,,,,,329.0,23.0,61.0,180.0,70.0,102.0,,,,,,,gem,,slab_interface,26.3321323395
790625,1970-11-28T11:08:45,-69.797,-21.092,44.9,5.9,mw,,,,,340.0,58.0,105.0,133.0,35.0,68.0,,,,,,,gem,,forearc,53.3933486938
788901,1970-12-04T17:08:50,-70.031,-23.25,45.2,6.5,mw,,,,,2.0,16.0,109.0,162.0,75.0,85.0,,,,,,,gem,,slab_interface,43.0668296814
787582,1971-02-21T10:35:22,-67.151,-23.804,183.7,6.88,mw,,,,,167.0,33.0,-83.0,338.0,57.0,-95.0,-1.87,-0.59,2.46,0.39,-0.94,-1.1,gem,,slab_deep,138.752929688
